,FisrtPara,FirstSente,ParaLoc,SenteLoc,SenteLen,ThematicWords,ProperNouns,StatRatio,Included
34415,0,0,0.32684096112778377,0.127307291136071,21,0.847457627118644,0.0,0.0,1
34416,0,0,0.32684096112778377,0.4309234169622851,20,0.9433962264150944,1.8691588785046727,0.0,0
34417,0,0,0.32684096112778377,0.3383505405385299,20,0.0,7.142857142857142,2.6785714285714284,0
34418,0,1,0.7775382886072444,0.6283185307179586,23,1.5384615384615385,6.0606060606060606,2.272727272727273,1
34419,0,0,0.7775382886072444,0.3394819509665946,12,1.5151515151515151,5.970149253731343,0.0,0
34420,0,0,0.7775382886072444,0.26147276890222704,16,2.0202020202020203,0.0,2.9702970297029703,1
34421,0,0,0.7775382886072444,0.6220306308857955,11,0.0,2.7027027027027026,4.054054054054054,0
34422,0,0,0.7775382886072444,0.41069639947419107,18,1.098901098901099,4.3478260869565215,0.0,0
34423,1,1,0.6283185307179586,3.141592653589793,20,0.0,0.0,2.2388059701492535,0
34424,0,1,0.3394819509665946,0.6283185307179586,24,3.5211267605633805,1.3605442176870748,0.0,1
34425,0,0,0.3394819509665946,0.3394819509665946,19,1.834862385321101,5.405405405405405,2.7027027027027026,1
34426,0,0,0.3394819509665946,0.26147276890222704,11,1.4492753623188406,0.0,0.0,0
34427,0,0,0.3394819509665946,0.6220306308857955,22,1.3245033112582782,0.0,0.0,0
34428,0,0,0.3394819509665946,0.41069639947419107,19,2.4193548387096775,0.0,0.0,0
34429,0,1,0.26147276890222704,0.7853981633974483,31,1.1764705882352942,1.1627906976744187,0.0,0
34430,0,0,0.26147276890222704,0.4243524387082433,30,2.824858757062147,2.197802197802198,0.0,1
34431,0,0,0.26147276890222704,0.32684096112778377,21,1.36986301369863,0.0,0.0,0
34432,0,0,0.26147276890222704,0.7775382886072444,23,2.272727272727273,0.0,2.2222222222222223,0
34433,0,0,0.26147276890222704,0.5133704993427388,23,2.9197080291970803,1.4184397163120568,0.0,0
34434,0,1,0.6220306308857955,0.6283185307179586,20,0.0,0.0,0.0,0
34435,0,0,0.6220306308857955,0.3394819509665946,17,3.1914893617021276,2.0618556701030926,0.0,1
34436,0,0,0.6220306308857955,0.26147276890222704,17,2.912621359223301,3.7735849056603774,0.0,1
34437,0,0,0.6220306308857955,0.6220306308857955,18,0.8264462809917356,3.278688524590164,2.459016393442623,0
34438,0,0,0.6220306308857955,0.41069639947419107,18,1.0,1.9801980198019802,0.0,1
34439,0,1,0.41069639947419107,0.20943951023931953,15,1.1494252873563218,0.0,0.0,1
34440,0,0,0.41069639947419107,0.11316065032219821,23,0.0,2.7777777777777777,0.0,0
34441,0,0,0.41069639947419107,0.08715758963407567,19,1.7391304347826086,5.128205128205128,2.5641025641025643,1
34442,0,0,0.41069639947419107,0.2073435436285985,12,1.5151515151515151,0.0,8.955223880597014,1
34443,0,0,0.41069639947419107,0.13689879982473036,26,1.1049723756906078,7.650273224043716,0.0,1
34444,0,0,0.41069639947419107,0.05941006919683313,25,0.0,0.0,0.0,0
34445,0,0,0.41069639947419107,0.2010975945823997,15,1.2345679012345678,0.0,0.0,0
34446,0,0,0.41069639947419107,0.1578969189179806,12,0.0,3.278688524590164,0.0,0
34447,0,0,0.41069639947419107,0.030473455820680454,27,0.6410256410256411,0.0,0.0,1
34448,0,0,0.41069639947419107,0.1908266758133497,16,1.2048192771084338,2.380952380952381,0.0,1
34449,0,0,0.41069639947419107,0.17573473010552917,21,2.255639097744361,2.941176470588235,0.0,1
34450,0,0,0.41069639947419107,0.0009269160190844984,15,3.5294117647058822,0.0,0.0,0
34451,0,0,0.41069639947419107,0.1767363598304441,30,0.4878048780487805,4.854368932038835,0.0,0
34452,0,0,0.41069639947419107,0.19005520947517593,19,0.0,3.5398230088495577,2.6548672566371683,0
34453,0,0,0.41069639947419107,0.028638176012935636,18,0.0,0.0,14.705882352941176,0
34454,1,1,1.0471975511965976,3.141592653589793,19,4.587155963302752,3.508771929824561,0.0,1
34455,0,1,0.5658032516109911,0.4487989505128276,22,3.076923076923077,1.4925373134328357,2.2388059701492535,1
34456,0,0,0.5658032516109911,0.2424871078332819,10,1.694915254237288,0.0,0.0,1
34457,0,0,0.5658032516109911,0.18676626350159073,13,0.0,6.122448979591836,0.0,0
34458,0,0,0.5658032516109911,0.44430759348985394,7,2.272727272727273,0.0,6.666666666666667,0
34459,0,0,0.5658032516109911,0.2933545710529936,8,0.0,0.0,0.0,0
34460,0,0,0.5658032516109911,0.127307291136071,26,2.4539877300613497,0.0,0.0,0
34461,0,0,0.5658032516109911,0.4309234169622851,23,1.5625,1.5384615384615385,0.0,0
34462,0,1,0.43578794817037836,0.4487989505128276,18,3.061224489795918,3.9603960396039604,2.9702970297029703,1
